month,product_subgroup,production_type,region,price_value,unit_name
2025-04,Lait entier,Conventionnel,Suisse,1.44,Litre
2025-04,Lait drink,Conventionnel,Suisse,1.73,Litre
2025-04,Beurre de cuisine,Conventionnel,Suisse,15.35,kg
2025-04,Cottage cheese,Conventionnel,Suisse,9.47,kg
2025-04,Gruyère,Conventionnel,Suisse,19.05,kg
2025-04,Tilsit,Conventionnel,Suisse,20.68,kg
2025-04,Brie CH 45%,Bio,Suisse,23.89,kg
2025-04,Lait drink,Bio,Suisse,1.87,Litre
2025-04,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-04,Beurre de choix,Conventionnel,Suisse,18.13,kg
2025-04,Lait écrémé,Conventionnel,Suisse,1.58,Litre
2025-04,Sbrinz,Conventionnel,Suisse,25.54,kg
2025-04,"Yogourt, autres fruits",Conventionnel,Suisse,3.7,kg
2025-04,Demi-crème,Conventionnel,Suisse,5.45,Litre
2025-04,Edamer CH,Conventionnel,Suisse,15.54,kg
2025-04,Appenzell,Conventionnel,Suisse,19.34,kg
2025-04,Beurre de choix,Bio,Suisse,22.7,kg
2025-04,Gruyère,Bio,Suisse,26.79,kg
2025-04,Tomme,Conventionnel,Suisse,20.3,kg
2025-04,Crème entière,Conventionnel,Suisse,6.91,Litre
2025-04,Lait entier,Bio,Suisse,1.87,Litre
2025-04,Brie CH 45%,Conventionnel,Suisse,20.31,kg
2025-04,Lait entier,Bio,Suisse,1.89,Litre
2025-04,Emmentaler,Bio,Suisse,23.5,kg
2025-04,Mozzarella,Conventionnel,Suisse,10.8,kg
2025-04,Appenzell,Conventionnel,Suisse,17.55,kg
